ID,API-Type,API-Name,HTTP Method,URI,Decription+Parameters,AmorphousURI,TidyURI,Comment,NonStandardURI,StandarURI,Comment,CRUDyURI,VerblessURI,Comment,UnversionedURI,VersionedURI,Comment,PluralisedNodes,SingularNodes,Comment,NonDescriptiveURI,DescriptiveURI,Comment,ContextlessResource,ContextualResouce,Comment,NonHierarchicalNodes,HierarchicalNodes,Comment,LessCohisiveDoc,CohisiveDoc,Comment,InconsistantDoc,ConsistantDoc,Comment,Type(Public/Private/Partner)
1,REST,Adobe Audience Manager,PUT,/models/{modelId},Updates an algorithmic model.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
2,REST,Adobe Audience Manager,DELETE,/models/{modelId},Deletes an algorithmic model.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Singular last node with PUT|DELETE method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
3,REST,Adobe Audience Manager,GET,/models,Returns an array of algorithmic models and their summary.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
4,REST,Adobe Audience Manager,POST,/models,Creates an algorithmic model.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Pluralized last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
5,REST,Adobe Audience Manager,GET,/models/{modelId}/processing-history,Returns an array of UNIX time stamps (UTC) of successful data runs for your model.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
6,REST,Adobe Audience Manager,GET,/models/{modelId}/runs/latest/traits,Returns a list of your most influential (accurate) traits for your algorithmic model.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
7,REST,Adobe Audience Manager,GET,/models/{modelId}/runs/latest/stats,Returns accuracy and reach values for your algorithmic model.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,1,0,Non-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
8,REST,Adobe Audience Manager,POST,/models/bulk-delete,Delete multiple algorithmic models with a single operation.,0,1,,0,1,,1,0,[delete found],1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,1,0,Inconsistent Documentation,Private
9,REST,Adobe Audience Manager,GET,/models/limits,Returns a count of the maximum number of algorithmic models you can create.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,1,0,Inconsistent Documentation,Private
10,REST,Adobe Audience Manager,GET,/algorithms/{algoTypeId},"Returns ID, name, and description for the algorithm based on the passed in algoTypeId.",0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
11,REST,Adobe Audience Manager,GET,/algorithms,"Returns ID, name, and description for the available algorithms.",0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
12,REST,Adobe Audience Manager,GET,/available-data-feeds/,Gets the 'Available Data Feed' resources for a buyer.,1,0,[trailing slash found],0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
13,REST,Adobe Audience Manager,GET,/available-data-feeds/{dataSourceId},Gets the data feed from the perspective of the buyer.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
14,REST,Adobe Audience Manager,GET,/available-data-feeds/{dataSourceId}/plans,"Gets the plans which belong to the data feed, from the perspective of the buyer.",0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
15,REST,Adobe Audience Manager,POST,/available-data-feeds/{dataSourceId}/subscribe,Creates/Updates subscription to an available data feed.,0,1,,0,1,,0,1,,1,0,No Version Found,1,0,[Singular last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
16,REST,Adobe Audience Manager,POST,/available-data-feeds/{dataSourceId}/requests,Creates a request for an available data feed.,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,[Pluralized last node with POST method.],0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
17,REST,Adobe Audience Manager,GET,/data-feeds/billing-report,Gets the billing report for last month,0,1,,0,1,,0,1,,1,0,No Version Found,0,1,Regular methods,0,1,Self-descriptive End-point,0,1,Contextual Resource Names,0,1,,0,1,Pertinent Documentation,0,1,Consistent Documentation,Private
